Date,Open,High,Low,Close,Adj Close,Volume
2018-04-09,248.000000,248.000000,243.500000,245.000000,236.384613,34694824
2018-04-10,244.500000,249.000000,243.500000,245.500000,236.867035,25156994
2018-04-11,246.500000,248.500000,246.500000,248.000000,239.279114,21607935
2018-04-12,248.500000,248.500000,244.000000,245.000000,236.384613,20409657
2018-04-13,246.000000,246.000000,244.000000,244.500000,235.902191,19742548
2018-04-16,243.000000,244.000000,242.000000,243.500000,234.937363,18350139
2018-04-17,243.000000,243.500000,237.500000,238.000000,229.630768,42756389
2018-04-18,239.500000,241.500000,236.500000,238.000000,229.630768,42500048
2018-04-19,242.000000,244.500000,241.000000,244.500000,235.902191,31901989
2018-04-20,228.000000,231.500000,228.000000,229.000000,220.947250,128452087
2018-04-23,226.500000,227.500000,225.000000,226.500000,218.535172,71009975
2018-04-24,225.000000,227.500000,225.000000,227.000000,219.017578,40967892
2018-04-25,225.500000,226.000000,224.000000,225.000000,217.087906,46771110
2018-04-26,225.000000,225.500000,221.000000,222.000000,214.193405,48023557
2018-04-27,225.000000,225.500000,221.000000,223.500000,215.640656,34174459
2018-04-30,224.500000,228.000000,222.500000,227.000000,219.017578,28500789
2018-05-02,227.000000,227.500000,222.500000,223.000000,215.158249,38167942
2018-05-03,221.000000,222.500000,220.000000,220.500000,212.746155,31690731
2018-05-04,221.000000,224.000000,220.500000,223.000000,215.158249,27208722
2018-05-07,225.000000,225.500000,221.500000,223.500000,215.640656,23268759
2018-05-08,224.000000,228.500000,223.500000,228.000000,219.982422,40324763
2018-05-09,228.500000,232.000000,228.500000,229.500000,221.429672,33778934
2018-05-10,231.000000,231.500000,229.000000,229.500000,221.429672,27530377
2018-05-11,232.000000,234.000000,230.500000,233.000000,224.806595,30693910
2018-05-14,234.500000,234.500000,232.500000,233.000000,224.806595,19921437
2018-05-15,233.500000,234.000000,229.500000,230.500000,222.394501,23771769
2018-05-16,229.500000,230.500000,228.500000,230.500000,222.394501,14409556
2018-05-17,231.000000,231.500000,226.500000,226.500000,218.535172,26852737
2018-05-18,225.500000,227.500000,223.500000,223.500000,215.640656,27664541
2018-05-21,225.000000,230.000000,225.000000,229.000000,220.947250,16127815
2018-05-22,230.000000,233.500000,229.000000,229.000000,220.947250,22355097
2018-05-23,231.500000,231.500000,228.500000,228.500000,220.464828,23062899
2018-05-24,229.500000,230.000000,228.500000,229.000000,220.947250,12996610
2018-05-25,228.500000,229.500000,228.000000,228.500000,220.464828,15971294
2018-05-28,229.500000,230.000000,226.500000,227.000000,219.017578,16373270
2018-05-29,226.500000,226.500000,223.500000,225.000000,217.087906,23764776
2018-05-30,224.000000,224.000000,220.500000,221.000000,213.228577,49163788
2018-05-31,221.500000,224.000000,220.500000,224.000000,216.123077,96069458
2018-06-01,224.500000,226.500000,224.000000,224.000000,216.123077,27617994
2018-06-04,227.500000,229.000000,227.000000,229.000000,220.947250,25959480
2018-06-05,230.000000,230.000000,226.500000,229.000000,220.947250,26534884
2018-06-06,229.000000,230.000000,227.000000,230.000000,221.912094,24767441
2018-06-07,231.000000,231.500000,228.000000,230.000000,221.912094,24958266
2018-06-08,229.000000,229.000000,226.000000,227.000000,219.017578,23548851
2018-06-11,226.500000,227.000000,225.000000,226.000000,218.052750,21696933
2018-06-12,225.000000,229.000000,224.000000,229.000000,220.947250,29501260
2018-06-13,229.000000,232.000000,228.000000,232.000000,223.841766,28944970
2018-06-14,230.000000,230.000000,226.500000,226.500000,218.535172,33408041
2018-06-15,225.000000,231.000000,224.000000,231.000000,222.876923,48059679
2018-06-19,225.500000,226.000000,224.000000,225.000000,217.087906,56889624
2018-06-20,224.500000,227.500000,223.500000,226.000000,218.052750,40708701
2018-06-21,227.500000,228.000000,226.000000,226.500000,218.535172,31242557
2018-06-22,224.500000,227.500000,224.000000,227.500000,219.500000,43581409
2018-06-25,220.000000,220.500000,218.000000,218.000000,218.000000,45025211
2018-06-26,215.500000,216.000000,212.500000,214.500000,214.500000,38446346
2018-06-27,216.000000,216.000000,212.500000,213.000000,213.000000,39888414
2018-06-28,211.000000,214.500000,210.000000,212.000000,212.000000,37940780
2018-06-29,212.000000,217.000000,212.000000,216.500000,216.500000,34313680
2018-07-02,218.500000,219.000000,214.000000,214.000000,214.000000,32449442
2018-07-03,215.500000,218.000000,213.500000,214.500000,214.500000,28323220
2018-07-04,217.000000,217.500000,215.500000,216.000000,216.000000,15212295
2018-07-05,214.000000,215.000000,213.000000,214.500000,214.500000,18225416
2018-07-06,217.500000,217.500000,215.000000,217.000000,217.000000,29033762
2018-07-09,219.500000,223.000000,218.500000,221.500000,221.500000,38734793
2018-07-10,223.000000,224.000000,222.000000,222.000000,222.000000,20118957
2018-07-11,220.000000,220.000000,218.000000,220.000000,220.000000,19854690
2018-07-12,218.000000,222.000000,218.000000,220.500000,220.500000,23666051
2018-07-13,222.500000,224.500000,222.500000,224.500000,224.500000,29716311
2018-07-16,224.500000,225.000000,223.500000,223.500000,223.500000,15819254
2018-07-17,222.500000,223.500000,221.000000,221.500000,221.500000,21548436
2018-07-18,223.000000,224.000000,222.000000,223.000000,223.000000,39898658
2018-07-19,225.500000,227.000000,224.500000,224.500000,224.500000,39661216
2018-07-20,235.000000,237.500000,233.000000,237.500000,237.500000,97969023
2018-07-23,239.000000,245.000000,238.500000,241.000000,241.000000,52256877
2018-07-24,240.000000,241.500000,238.500000,241.000000,241.000000,27239267
2018-07-25,239.000000,241.000000,239.000000,240.500000,240.500000,20962512
2018-07-26,241.000000,242.500000,239.500000,241.000000,241.000000,30606388
2018-07-27,242.000000,244.500000,241.000000,244.500000,244.500000,27129646
2018-07-30,244.500000,245.500000,244.000000,245.500000,245.500000,22788730
2018-07-31,243.500000,246.000000,242.000000,246.000000,246.000000,27059442
2018-08-01,247.000000,248.000000,246.500000,248.000000,248.000000,29136161
2018-08-02,249.000000,249.500000,243.500000,244.500000,244.500000,22402110
2018-08-03,246.000000,248.000000,245.000000,247.000000,247.000000,24719097
2018-08-06,245.000000,247.000000,244.000000,245.500000,245.500000,22364568
2018-08-07,245.000000,245.500000,241.500000,241.500000,241.500000,23992418
2018-08-08,245.000000,247.500000,244.500000,247.500000,247.500000,24382432
2018-08-09,247.000000,248.000000,246.000000,247.000000,247.000000,15128655
2018-08-10,246.500000,247.000000,244.500000,245.000000,245.000000,15890492
2018-08-13,241.500000,243.000000,239.000000,240.500000,240.500000,17881194
2018-08-14,245.000000,245.000000,242.500000,243.500000,243.500000,17358913
2018-08-15,244.500000,244.500000,239.500000,241.500000,241.500000,18473321
2018-08-16,238.000000,241.500000,238.000000,239.000000,239.000000,19155966
2018-08-17,239.500000,241.000000,239.000000,239.500000,239.500000,18324474
2018-08-20,239.500000,240.000000,238.000000,239.500000,239.500000,16933437
2018-08-21,239.000000,241.000000,238.500000,241.000000,241.000000,12014127
2018-08-22,241.500000,242.500000,240.500000,242.000000,242.000000,12614240
2018-08-23,243.000000,244.500000,243.000000,244.500000,244.500000,14839240
2018-08-24,245.500000,246.000000,243.000000,243.500000,243.500000,14355943
2018-08-27,246.000000,246.500000,244.500000,245.000000,245.000000,15152299
